Customer ID,Customer Name,Revenue,Profit,Orders,Cluster,Segment_Type
AA-10315,Alex Avila,13747.6,447.8,19,1,Regular
AA-10375,Allen Armold,5884.3,677.7,23,1,Regular
AA-10480,Andrew Allen,17695.6,1516.3,20,1,Regular
AA-10645,Anna Andreadi,15344.3,3051.1,36,2,High Value
AA-315,Alex Avila,2243.2,535.5999999999999,7,0,Low Value
AA-375,Allen Armold,654.6,77.39999999999999,8,0,Low Value
AA-480,Andrew Allen,2063.4,554.6,5,0,Low Value
AA-645,Anna Andreadi,1968.3,-608.5000000000001,11,0,Low Value
AB-10015,Aaron Bergman,20037.7,3719.7000000000003,32,2,High Value
AB-10060,Adam Bellavance,18416.7,4514.0,32,2,High Value
AB-10105,Adrian Barton,22967.2,6912.599999999999,33,2,High Value
AB-10150,Aimee Bixby,13057.6,2064.5,24,1,Regular
AB-10165,Alan Barnes,11649.5,2329.4,29,1,Regular
AB-10255,Alejandro Ballentine,10786.3,-43.40000000000005,31,1,Regular
AB-105,Adrian Barton,2156.4,-495.29999999999995,7,0,Low Value
AB-10600,Ann Blume,13318.7,905.5,22,1,Regular
AB-15,Aaron Bergman,4607.2,963.6999999999999,5,0,Low Value
AB-150,Aimee Bixby,3143.9,862.3000000000001,4,0,Low Value
AB-165,Alan Barnes,1399.8,106.60000000000001,6,0,Low Value
AB-255,Alejandro Ballentine,4679.5,801.8,8,0,Low Value
AB-60,Adam Bellavance,1770.3999999999999,465.9,9,0,Low Value
AB-600,Ann Blume,5408.4,964.5,5,0,Low Value
AC-10420,Alyssa Crouse,10607.8,206.2,24,1,Regular
AC-10450,Amy Cox,16126.5,4105.5,19,2,High Value
AC-10615,Ann Chong,12729.6,1161.1,29,1,Regular
AC-10660,Anna Chung,6256.0,-998.6,21,0,Low Value
AC-420,Alyssa Crouse,1689.7,237.39999999999998,9,0,Low Value
AC-450,Amy Cox,1026.7,-125.29999999999998,7,0,Low Value
AC-615,Ann Chong,2298.4,-280.40000000000003,7,0,Low Value
AC-660,Anna Chung,2676.2000000000003,727.0,4,0,Low Value
AD-10180,Alan Dominguez,17858.9,2050.8,27,2,High Value
AD-180,Alan Dominguez,681.3,-510.8,3,0,Low Value
AF-10870,Art Ferguson,26487.5,1735.6,36,2,High Value
AF-10885,Art Foster,19711.5,2882.8,35,2,High Value
AF-870,Art Ferguson,1700.2,542.5,9,0,Low Value
AF-885,Art Foster,355.1,88.3,2,0,Low Value
AG-10270,Alejandro Grove,10637.6,2152.4,25,1,Regular
AG-10300,Aleksandra Gannaway,13013.800000000001,1845.9,24,1,Regular
AG-10330,Alex Grayson,14535.0,929.0,29,1,Regular
AG-10390,Allen Goldenen,8453.4,995.5,19,1,Regular
AG-10495,Andrew Gjertsen,15380.6,2748.9,29,2,High Value
AG-10525,Andy Gerbode,8468.9,35.79999999999999,20,1,Regular
AG-10675,Anna Gayman,13023.800000000001,680.9,21,1,Regular
AG-10765,Anthony Garverick,9824.8,1250.5,27,1,Regular
AG-10900,Arthur Gainer,18174.6,1879.8999999999999,29,2,High Value
AG-270,Alejandro Grove,2779.7,450.3,8,0,Low Value
AG-300,Aleksandra Gannaway,1703.2,-1072.6,6,0,Low Value
AG-330,Alex Grayson,532.5,77.60000000000001,7,0,Low Value
AG-390,Allen Goldenen,473.2,-548.3000000000001,4,0,Low Value
AG-495,Andrew Gjertsen,1004.1,-106.70000000000002,11,0,Low Value
AG-525,Andy Gerbode,2870.6,133.39999999999998,7,0,Low Value
AG-675,Anna Gayman,2368.2,242.2,10,0,Low Value
AG-765,Anthony Garverick,1859.5,-1075.3,8,0,Low Value
AG-900,Arthur Gainer,1699.5,-146.5,4,0,Low Value
AH-10030,Aaron Hawkins,14439.7,2601.4,27,2,High Value
AH-10075,Adam Hart,18109.7,985.8,34,1,Regular
AH-10120,Adrian Hane,9927.8,1704.8,22,1,Regular
AH-10195,Alan Haines,12628.4,158.69999999999996,25,1,Regular
AH-10210,Alan Hwang,20365.6,4139.9,34,2,High Value
AH-10465,Amy Hunt,8547.9,611.9,20,1,Regular
AH-10585,Angele Hood,9126.1,1458.4,22,1,Regular
AH-10690,Anna Häberlin,16276.5,2795.5,31,2,High Value
AH-120,Adrian Hane,1478.2,376.3,4,0,Low Value
AH-195,Alan Haines,2651.5,-751.1999999999999,9,0,Low Value
AH-210,Alan Hwang,3277.1,202.6,4,0,Low Value
AH-30,Aaron Hawkins,6320.0,-150.4999999999999,7,0,Low Value
AH-465,Amy Hunt,651.0,106.5,4,0,Low Value
AH-585,Angele Hood,2232.1000000000004,151.6,9,0,Low Value
AH-690,Anna Häberlin,1818.1,-329.8,5,0,Low Value
AH-75,Adam Hart,3608.3,915.8000000000001,8,0,Low Value
AI-10855,Arianne Irving,8358.7,1612.9,22,1,Regular
AI-855,Arianne Irving,920.0,-74.60000000000001,4,0,Low Value
AJ-10780,Anthony Jacobs,15186.6,1784.4,25,1,Regular
AJ-10795,Anthony Johnson,8887.3,1861.1,22,1,Regular
AJ-10945,Ashley Jarboe,11087.2,1567.7,29,1,Regular
AJ-10960,Astrea Jones,8633.6,1518.3,17,1,Regular
AJ-780,Anthony Jacobs,2571.2,-612.4000000000001,12,0,Low Value
AJ-795,Anthony Johnson,3395.4,617.5,10,0,Low Value
AJ-945,Ashley Jarboe,4861.0,1439.1,7,0,Low Value
AJ-960,Astrea Jones,4629.5,1012.6,10,0,Low Value
AM-10360,Alice McCarthy,16730.600000000002,2748.6,33,2,High Value
AM-10705,Anne McFarland,24219.0,2729.1,30,2,High Value
AM-360,Alice McCarthy,2036.0,229.4,6,0,Low Value
AM-705,Anne McFarland,1303.8,510.0,6,0,Low Value
AO-10810,Anthony O'Donnell,14538.1,1028.2,27,1,Regular
AO-810,Anthony O'Donnell,484.90000000000003,64.8,5,0,Low Value
AP-10720,Anne Pryor,15362.4,2937.6,20,2,High Value
AP-10915,Arthur Prichep,15878.3,2420.5,32,2,High Value
AP-720,Anne Pryor,999.8,55.300000000000004,6,0,Low Value
AP-915,Arthur Prichep,2668.2,717.4,5,0,Low Value
AR-10345,Alex Russell,14166.1,1684.1,26,1,Regular
AR-10405,Allen Rosenblatt,8956.9,-583.4,22,1,Regular
AR-10510,Andrew Roberts,14277.7,3519.1,29,2,High Value
AR-10540,Andy Reiter,7984.3,3050.7999999999997,15,1,Regular
AR-10570,Anemone Ratner,9445.5,1584.8,18,1,Regular
AR-10825,Anthony Rawles,15311.1,2828.0,38,2,High Value
AR-345,Alex Russell,2301.2,606.6,9,0,Low Value
AR-405,Allen Rosenblatt,571.0,31.399999999999988,6,0,Low Value
AR-510,Andrew Roberts,2638.7,42.8,10,0,Low Value
AR-540,Andy Reiter,561.6,88.2,8,0,Low Value
AR-570,Anemone Ratner,2044.4,409.6,9,0,Low Value
AR-825,Anthony Rawles,2029.0,289.59999999999997,7,0,Low Value
AS-10045,Aaron Smayling,12596.4,661.0,28,1,Regular
AS-10090,Adam Shillingsburg,15009.6,1344.8999999999999,32,1,Regular
AS-10135,Adrian Shami,7307.5,750.2000000000002,19,1,Regular
AS-10225,Alan Schoenberger,21366.8,2718.5,28,2,High Value
AS-10240,Alan Shonely,9006.9,630.3000000000001,31,1,Regular
AS-10285,Alejandro Savely,16180.2,1795.2,30,1,Regular
AS-10630,Ann Steele,9816.300000000001,3194.4,19,2,High Value
AS-135,Adrian Shami,3978.7999999999997,814.3000000000001,5,0,Low Value
AS-225,Alan Schoenberger,469.4,-214.9,7,0,Low Value
AS-240,Alan Shonely,1686.6000000000001,545.0,5,0,Low Value
AS-285,Alejandro Savely,4938.6,738.8,13,0,Low Value
AS-45,Aaron Smayling,1616.3,-291.6,3,0,Low Value
AS-630,Ann Steele,2000.2,-1103.3,11,0,Low Value
AS-90,Adam Shillingsburg,435.2,76.2,4,0,Low Value
AT-10435,Alyssa Tate,13654.4,3016.8,24,2,High Value
